	CW1eff_0_August_2024	CW3eff_4_April_2025	CW1MF01_4_April_2025	CW1MF02_4_April_2025	CW1MF05_4_April_2025	CW1MF06_4_April_2025	CW1MF09_4_April_2025	CW1MF10_4_April_2025	CW2MF01_4_April_2025	CW2MF02_4_April_2025	CW2MF05_4_April_2025	CW2eff_0_August_2024	CW2MF06_4_April_2025	CW2MF09_4_April_2025	CW2MF10_4_April_2025	CW3MF01_4_April_2025	CW3MF02_4_April_2025	CW3MF05_4_April_2025	CW3MF06_4_April_2025	CW3MF09_4_April_2025	CW3MF10_4_April_2025	CWinf_5_June_2025	CW3eff_0_August_2024	CW1eff_5_June_2025	CW2eff_5_June_2025	CW3eff_5_June_2025	CW1MF01_5_June_2025	CW1MF02_5_June_2025	CW1MF05_5_June_2025	CW1MF06_5_June_2025	CW1MF09_5_June_2025	CW1MF10_5_June_2025	CW2MF01_5_June_2025	CW1MF01_0_August_2024	CW2MF02_5_June_2025	CW2MF05_5_June_2025	CW2MF06_5_June_2025	CW2MF09_5_June_2025	CW2MF10_5_June_2025	CW3MF01_5_June_2025	CW3MF02_5_June_2025	CW3MF05_5_June_2025	CW3MF06_5_June_2025	CW3MF09_5_June_2025	CW1MF02_0_August_2024	CW3MF10_5_June_2025	CWinf_6_August_2025	CW1eff_6_August_2025	CW2eff_6_August_2025	CW3eff_6_August_2025	CW1MF01_6_August_2025	CW1MF02_6_August_2025	CW1MF05_6_August_2025	CW1MF06_6_August_2025	CW1MF09_6_August_2025	CW1MF05_0_August_2024	CW1MF10_6_August_2025	CW2MF01_6_August_2025	CW2MF02_6_August_2025	CW2MF05_6_August_2025	CW2MF06_6_August_2025	CW2MF09_6_August_2025	CW2MF10_6_August_2025	CW3MF01_6_August_2025	CW3MF02_6_August_2025	CW3MF05_6_August_2025	CW1MF06_0_August_2024	CW3MF06_6_August_2025	CW3MF09_6_August_2025	CW3MF10_6_August_2025	CWinf_7_October_2025	CW1eff_7_October_2025	CW2eff_7_October_2025	CW3eff_7_October_2025	CW1MF01_7_October_2025	CW1MF02_7_October_2025	CW1MF05_7_October_2025	CW1MF09_0_August_2024	CW1MF06_7_October_2025	CW1MF09_7_October_2025	CW1MF10_7_October_2025	CW2MF01_7_October_2025	CW2MF02_7_October_2025	CW2MF05_7_October_2025	CW2MF06_7_October_2025	CW2MF09_7_October_2025	CW2MF10_7_October_2025	CW3MF01_7_October_2025	CW1MF10_0_August_2024	CW3MF02_7_October_2025	CW3MF05_7_October_2025	CW3MF06_7_October_2025	CW3MF09_7_October_2025	CW3MF10_7_October_2025	CWinf_8_December_2025	CW1eff_8_December_2025	CW2eff_8_December_2025	CW3eff_8_December_2025	CW1MF01_8_December_2025	CW2MF01_0_August_2024	CW1MF02_8_December_2025	CW1MF05_8_December_2025	CW1MF06_8_December_2025	CW1MF09_8_December_2025	CW1MF10_8_December_2025	CW2MF01_8_December_2025	CW2MF02_8_December_2025	CW2MF05_8_December_2025	CW2MF06_8_December_2025	CW2MF09_8_December_2025	CW2MF02_0_August_2024	CW2MF10_8_December_2025	CW3MF01_8_December_2025	CW3MF02_8_December_2025	CW3MF05_8_December_2025	CW3MF06_8_December_2025	CW3MF09_8_December_2025	CW3MF10_8_December_2025	CW2MF05_0_August_2024	CW2MF06_0_August_2024	CW2MF09_0_August_2024	CW2MF10_0_August_2024	CW3MF01_0_August_2024	CW3MF02_0_August_2024	CW3MF05_0_August_2024	CW3MF06_0_August_2024	CW3MF09_0_August_2024	CW3MF10_0_August_2024	CWinf_1_October_2024	CW1eff_1_October_2024	CW2eff_1_October_2024	CW3eff_1_October_2024	CW1MF01_1_October_2024	CW1MF02_1_October_2024	CW1MF05_1_October_2024	CW1MF06_1_October_2024	CW1MF09_1_October_2024	CW1MF10_1_October_2024	CW2MF01_1_October_2024	CW2MF02_1_October_2024	CW2MF05_1_October_2024	CW2MF06_1_October_2024	CW2MF09_1_October_2024	CW2MF10_1_October_2024	CW3MF01_1_October_2024	CW3MF02_1_October_2024	CW3MF05_1_October_2024	CW3MF06_1_October_2024	CW3MF09_1_October_2024	CW3MF10_1_October_2024	CWinf_2_December_2024	CW1eff_2_December_2024	CW2eff_2_December_2024	CW3eff_2_December_2024	CW1MF01_2_December_2024	CW1MF02_2_December_2024	CW1MF05_2_December_2024	CW1MF06_2_December_2024	CW1MF09_2_December_2024	CW1MF10_2_December_2024	CW2MF01_2_December_2024	CW2MF02_2_December_2024	CW2MF05_2_December_2024	CW2MF06_2_December_2024	CW2MF09_2_December_2024	CW2MF10_2_December_2024	CW3MF01_2_December_2024	CW3MF02_2_December_2024	CW3MF05_2_December_2024	CW3MF06_2_December_2024	CW3MF09_2_December_2024	CW3MF10_2_December_2024	CWinf_3_February_2025	CW1eff_3_February_2025	CW2eff_3_February_2025	CW3eff_3_February_2025	CW1MF01_3_February_2025	CW1MF02_3_February_2025	CW1MF05_3_February_2025	CW1MF06_3_February_2025	CW1MF09_3_February_2025	CW1MF10_3_February_2025	CW2MF01_3_February_2025	CW2MF02_3_February_2025	CW2MF05_3_February_2025	CW2MF06_3_February_2025	CW2MF09_3_February_2025	CWinf_0_August_2024	CW2MF10_3_February_2025	CW3MF01_3_February_2025	CW3MF02_3_February_2025	CW3MF05_3_February_2025	CW3MF06_3_February_2025	CW3MF09_3_February_2025	CW3MF10_3_February_2025	CWinf_4_April_2025	CW1eff_4_April_2025	CW2eff_4_April_2025
Seq_104	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	26	18	0	9	0	0	0	0	0	0	0	0	26	0	0	40	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_105	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	5	0	7	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_106	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	8	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	13	0	0	0	0	0
Seq_108	28	0	11	0	10	0	5	6	8	0	0	3	0	0	9	0	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	4	6	0	0	0	0	0	0	6	0	2	0	0	0	3	0	0	0	0	7	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	2	4	0	0	7	0	5	6	0	0	0	6	3	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	8	0	4	0	0	0	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	4	2	0	0	0	0	5	40	3	0	0	0	0	0	0	0	0	2
Seq_109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	120	0	86	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	11	0	18	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	68	10	0	79	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	9	0	11	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	0	0	0	18	22	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Seq_113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_114	5	0	8	0	3	0	6	0	0	0	0	6	0	3	3	0	0	0	0	0	3	0	0	0	3	0	5	0	0	3	7	0	0	0	0	0	2	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	4	0	3	0	0	0	0	0	0	0	7	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	9	0	3	4	4	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	8	0	0	4	3	0	0	0	7	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	3	0	0	0	0	11	3	5	0	0	0	0	5	0	9	0
Seq_115	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	5	0	5	7	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	12	0	0	0	0	0	0	0	0	6	0	15	0	0	0	0	0	0	0	0	30	0	0	0	0	5	0	0	0	0	0	0	0	18	0	0	28	12	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	13	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_118	0	0	6	0	5	0	4	0	3	0	3	0	0	0	2	3	0	0	0	6	0	0	0	0	5	7	11	0	14	0	68	0	0	14	0	0	0	5	0	11	0	0	0	14	0	0	0	16	0	0	0	0	5	0	0	0	0	17	0	0	132	37	13	4	0	0	0	0	0	7	0	2	6	2	7	0	0	0	0	0	8	3	0	0	21	7	6	5	0	0	0	0	3	4	0	0	0	4	5	0	0	0	10	0	8	0	0	0	0	0	0	9	0	0	0	8	7	0	5	0	0	22	16	0	0	0	13	0	0	26	9	12	17	0	0	0	16	0	23	0	0	0	3	20	0	0	0	0	6	0	0	36	2	0	6	0	0	0	13	11	0	0	4	0	0	0	0	0	0	0	0	5	0	8	9	0	0	0	0	0	0	0	0	0	0	6	8	23	0	9	0	0	0	4	0	0	13	0
Seq_119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_120	9	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Seq_122	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	13	0
Seq_123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	5	18	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_125	0	3	0	0	2	0	0	0	0	0	2	0	0	12	0	152	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	15	2	86	0	71	0	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	45	0	0	0	0	0	0	0	0	26	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0
Seq_126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Seq_128	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	33	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
Seq_129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seq_131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	13	2	0	5	0	0	10	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0
